review_item_id,baseline,case_id,conflict_label,predicted_conflict,final_route_decision,fhir_valid,hallucination_flag,symptom_text,vision_tags,kg_matches,emr_summary
review_b2_001,B2,case_clear_fever,False,False,generate_emr,True,False,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b2_002,B2,case_blur_fever,True,True,human_review,False,False,Patient reports fever and sore throat for two days.,red_tongue,2,not generated
review_b2_003,B2,case_cold_pale,False,False,generate_emr,True,False,Patient reports cold aversion and fatigue.,pale_tongue|thin_white_coating,3,Evidence-aligned draft generated by Paper II MVP.
review_b2_004,B2,case_cold_yellow_conflict,True,True,human_review,False,False,Patient reports cold aversion and fatigue.,yellow_greasy_coating,1,not generated
review_b2_005,B2,case_missing_text,True,True,ask_followup,False,False,Patient reports feeling unwell for several days.,red_tongue,0,not generated
review_b2_006,B2,case_mouth_bitter,False,False,generate_emr,False,False,Patient reports mouth bitter and nausea after meals.,yellow_greasy_coating,2,Evidence-aligned draft generated by Paper II MVP.
review_b2_007,B2,case_mouth_bitter_white_conflict,True,True,human_review,False,False,Patient reports mouth bitter and nausea after meals.,thin_white_coating,1,not generated
review_b2_008,B2,case_occluded_cold,True,True,human_review,False,False,Patient reports cold aversion and fatigue.,pale_tongue,2,not generated
review_b3_001,B3,case_clear_fever,False,False,generate_emr,True,False,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b3_002,B3,case_blur_fever,True,True,generate_emr,True,True,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b3_003,B3,case_cold_pale,False,False,generate_emr,True,False,Patient reports cold aversion and fatigue.,pale_tongue|thin_white_coating,3,Evidence-aligned draft generated by Paper II MVP.
review_b3_004,B3,case_cold_yellow_conflict,True,True,human_review,False,False,Patient reports cold aversion and fatigue.,yellow_greasy_coating,1,not generated
review_b3_005,B3,case_missing_text,True,True,ask_followup,False,False,Patient reports feeling unwell for several days.,red_tongue,0,not generated
review_b3_006,B3,case_mouth_bitter,False,False,generate_emr,False,False,Patient reports mouth bitter and nausea after meals.,yellow_greasy_coating,2,Evidence-aligned draft generated by Paper II MVP.
review_b3_007,B3,case_mouth_bitter_white_conflict,True,True,human_review,False,False,Patient reports mouth bitter and nausea after meals.,thin_white_coating,1,not generated
review_b3_008,B3,case_occluded_cold,True,True,generate_emr,False,True,Patient reports cold aversion and fatigue.,pale_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b4_001,B4,case_clear_fever,False,False,generate_emr,True,False,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b4_002,B4,case_blur_fever,True,True,generate_emr,True,True,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b4_003,B4,case_cold_pale,False,False,generate_emr,True,False,Patient reports cold aversion and fatigue.,pale_tongue|thin_white_coating,3,Evidence-aligned draft generated by Paper II MVP.
review_b4_004,B4,case_cold_yellow_conflict,True,True,human_review,False,False,Patient reports cold aversion and fatigue.,yellow_greasy_coating,1,not generated
review_b4_005,B4,case_missing_text,True,True,human_review,False,False,Patient reports feeling unwell for several days.,red_tongue,0,not generated
review_b4_006,B4,case_mouth_bitter,False,False,generate_emr,True,False,Patient reports mouth bitter and nausea after meals.,yellow_greasy_coating,2,Evidence-aligned draft generated by Paper II MVP.
review_b4_007,B4,case_mouth_bitter_white_conflict,True,True,human_review,False,False,Patient reports mouth bitter and nausea after meals.,thin_white_coating,1,not generated
review_b4_008,B4,case_occluded_cold,True,True,generate_emr,True,True,Patient reports cold aversion and fatigue.,pale_tongue,2,Evidence-aligned draft generated by Paper II MVP.
